,Price,Kilometres,Year,Age of Car
187,54990,1395,2023.0,1.0
188,35880,37578,2017.0,7.0
189,21990,101005,2016.0,8.0
190,52888,46956,2018.0,6.0
191,37500,62355,2020.0,4.0
192,26990,44175,2010.0,14.0
193,69990,14101,2022.0,2.0
194,19950,112475,2013.0,11.0
195,28990,111556,2019.0,5.0
196,13999,148265,2013.0,11.0
197,88980,1194,2023.0,1.0
198,34950,104082,2015.0,9.0
199,17999,112200,2015.0,9.0
200,62888,5699,2022.0,2.0
201,66490,1134,2022.0,2.0
202,95500,- / -,2023.0,1.0
203,41999,18182,2018.0,6.0
204,78990,1123,2023.0,1.0
205,38990,37170,2018.0,6.0
206,47990,49113,2018.0,6.0
207,14995,145374,2010.0,14.0
208,119990,34660,2019.0,5.0
209,15672,92623,2013.0,11.0
210,19990,94967,2016.0,8.0
211,54990,72557,2017.0,7.0
212,139900,15156,2021.0,3.0
213,34950,107572,2017.0,7.0
214,47990,99349,2018.0,6.0
215,77880,4595,2022.0,2.0
216,54990,49431,2019.0,5.0
217,13999,271314,2007.0,17.0
218,49987,107604,2017.0,7.0
219,40990,97357,2014.0,10.0
220,29990,132266,2013.0,11.0
221,99888,14431,2021.0,3.0
222,54880,61612,2017.0,7.0
223,92788,70847,2019.0,5.0
224,94900,4890,2022.0,2.0
225,53988,15126,2020.0,4.0
226,21990,104934,2014.0,10.0
227,130000,52441,2015.0,9.0
228,51288,2100,2023.0,1.0
229,9800,147000,2011.0,13.0
230,59995,74308,2018.0,6.0
231,16990,167529,2015.0,9.0
232,18990,133742,2013.0,11.0
233,24995,76280,2016.0,8.0
234,32888,16691,2021.0,3.0
235,92990,2011,2023.0,1.0
236,54990,2200,2022.0,2.0
237,23990,88514,2013.0,11.0
238,56990,38966,2020.0,4.0
239,13888,199987,2007.0,17.0
240,59990,47926,2016.0,8.0
241,110000,1867,2022.0,2.0
242,19990,120450,2005.0,19.0
243,34990,54595,2019.0,5.0
244,55900,4498,2022.0,2.0
245,14950,200000,2007.0,17.0
246,15999,204026,1999.0,25.0
247,79800,89539,2020.0,4.0
248,18999,110957,2014.0,10.0
249,39990,65807,2015.0,9.0
250,49888,75457,2016.0,8.0
251,25990,143539,2018.0,6.0
252,49880,81383,2018.0,6.0
253,71880,48587,2019.0,5.0
254,32800,39972,2018.0,6.0
255,54995,39299,2018.0,6.0
256,43480,94068,2019.0,5.0
257,57990,29945,2021.0,3.0
258,36888,98098,2016.0,8.0
259,88990,52726,2021.0,3.0
260,85880,16896,2021.0,3.0
261,49990,99503,2015.0,9.0
262,58490,277,2023.0,1.0
263,13990,205870,2000.0,24.0
264,133800,- / -,2023.0,1.0
265,34880,73172,2020.0,4.0
266,27995,73021,2014.0,10.0
267,34969,22423,2017.0,7.0
268,27800,128300,2016.0,8.0
269,41990,191200,2018.0,6.0
270,27988,67519,2015.0,9.0
271,96888,2088,2023.0,1.0
272,29900,53000,2013.0,11.0
273,45950,70319,2014.0,10.0
274,74800,34580,2019.0,5.0
275,45990,98370,2017.0,7.0
276,59990,2828,2022.0,2.0
277,41633,36873,2019.0,5.0
278,12999,190000,2009.0,15.0
279,27800,38094,2018.0,6.0
280,71880,2001,2022.0,2.0
281,23990,123500,2014.0,10.0
282,30994,51432,2019.0,5.0
283,16999,113870,2013.0,11.0
284,72888,85380,2018.0,6.0
285,436900,2420,2020.0,4.0
286,14999,172195,2010.0,14.0
287,72880,136530,2017.0,7.0
288,21990,127588,2013.0,11.0
289,64800,12619,2021.0,3.0
290,35800,38238,2018.0,6.0
291,95900,3488,2022.0,2.0
292,24880,175271,2014.0,10.0
293,17300,208068,2014.0,10.0
294,58490,4589,2022.0,2.0
295,23990,71112,2012.0,12.0
296,20990,169790,2010.0,14.0
297,33888,99080,2017.0,7.0
298,31990,62262,2017.0,7.0
299,13990,237951,2010.0,14.0
300,283688,2088,2023.0,1.0
301,18999,114429,2009.0,15.0
302,36880,151601,2016.0,8.0
303,12990,179400,2014.0,10.0
304,5888,115910,2003.0,21.0
305,66888,65000,2018.0,6.0
306,44990,97167,2018.0,6.0
307,49990,19300,2020.0,4.0
308,69990,41960,2021.0,3.0
309,39350,38000,2018.0,6.0
310,17990,160934,2016.0,8.0
311,41900,69135,2017.0,7.0
312,139980,21939,2020.0,4.0
313,18990,129433,2012.0,12.0
314,36987,65037,2016.0,8.0
315,25990,59842,2014.0,10.0
316,29990,72292,2017.0,7.0
317,69990,59555,2017.0,7.0
318,21990,109214,2013.0,11.0
319,102488,2088,2023.0,1.0
320,37880,38049,2019.0,5.0
321,32480,20000,2021.0,3.0
322,18888,149850,2011.0,13.0
323,25990,135327,2018.0,6.0
324,69418,8270,2022.0,2.0
325,32990,92939,2016.0,8.0
326,2999,292000,2000.0,24.0
