,Price,Kilometres,Year,Age of Car
5126,25990,104411,2018.0,6.0
5127,42705,12449,2022.0,2.0
5128,25950,85500,2017.0,7.0
5129,29990,26702,2018.0,6.0
5130,26880,5045,2022.0,2.0
5131,25995,34914,2020.0,4.0
5132,16990,126185,2014.0,10.0
5133,10990,60927,2014.0,10.0
5134,34990,50946,2021.0,3.0
5135,25490,54492,2020.0,4.0
5136,8990,135700,2006.0,18.0
5137,9999,92859,2014.0,10.0
5138,9990,110085,2009.0,15.0
5139,28990,47281,2019.0,5.0
5140,13989,94024,2013.0,11.0
5141,27999,53840,2019.0,5.0
5142,21990,58100,2014.0,10.0
5143,18990,145764,2013.0,11.0
5144,71897,45,2023.0,1.0
5145,59800,16828,2021.0,3.0
5146,31990,34830,2020.0,4.0
5147,18895,48225,2016.0,8.0
5148,86733,20,2023.0,1.0
5149,40950,39073,2018.0,6.0
5150,10480,133269,2011.0,13.0
5151,21870,56071,2020.0,4.0
5152,13990,231209,2016.0,8.0
5153,48697,12,2023.0,1.0
5154,26990,63057,2017.0,7.0
5155,25990,37996,2021.0,3.0
5156,15995,150200,2013.0,11.0
5157,13990,290951,2013.0,11.0
5158,23999,54200,2015.0,9.0
5159,10990,202000,2012.0,12.0
5160,14950,106200,2013.0,11.0
5161,21980,56964,2019.0,5.0
5162,35880,33013,2020.0,4.0
5163,16890,63710,2015.0,9.0
5164,39888,114449,2018.0,6.0
5165,22690,80620,2015.0,9.0
5166,25990,50245,2020.0,4.0
5167,14990,209305,2014.0,10.0
5168,28490,27655,2022.0,2.0
5169,41955,69135,2018.0,6.0
5170,25450,36044,2020.0,4.0
5171,22990,84660,2018.0,6.0
5172,22977,60852,2019.0,5.0
5173,21750,73056,2019.0,5.0
5174,25990,74798,2019.0,5.0
5175,13990,230576,2010.0,14.0
5176,11513,165875,2010.0,14.0
5177,12888,148448,2015.0,9.0
5178,16990,151414,2015.0,9.0
5179,26990,79065,2015.0,9.0
5180,38999,14936,2017.0,7.0
5181,19800,208123,2014.0,10.0
5182,24850,51180,2020.0,4.0
5183,13990,128362,2014.0,10.0
5184,50895,13985,2022.0,2.0
5185,25990,18,2023.0,1.0
5186,24355,65016,2019.0,5.0
5187,29990,76127,2018.0,6.0
5188,21890,103010,2019.0,5.0
5189,8990,191317,2005.0,19.0
5190,26990,53706,2019.0,5.0
5191,13990,65221,2011.0,13.0
5192,21995,139455,2012.0,12.0
5193,27777,62142,2020.0,4.0
5194,25895,53590,2020.0,4.0
5195,28888,55076,2016.0,8.0
5196,49950,11123,2021.0,3.0
5197,26090,26264,2018.0,6.0
5198,23730,63045,2018.0,6.0
5199,17990,89655,2013.0,11.0
5200,63998,2798,2022.0,2.0
5201,24990,99616,2015.0,9.0
5202,109525,- / -,2023.0,1.0
5203,109525,- / -,2023.0,1.0
5204,109525,- / -,2023.0,1.0
5205,108525,- / -,2023.0,1.0
5206,39990,62663,2018.0,6.0
5207,21990,101103,2014.0,10.0
5208,24990,95003,2015.0,9.0
5209,368775,- / -,2023.0,1.0
5210,314600,- / -,2023.0,1.0
5211,41800,108966,2019.0,5.0
5212,25800,200259,2013.0,11.0
5213,35995,125618,2016.0,8.0
5214,27888,95211,2015.0,9.0
5215,29990,179008,2016.0,8.0
5216,23990,135448,2015.0,9.0
5217,44951,98716,2017.0,7.0
5218,36999,126084,2019.0,5.0
5219,65640,25,2023.0,1.0
5220,37990,51355,2018.0,6.0
5221,32950,179062,2016.0,8.0
5222,48888,29138,2021.0,3.0
5223,69990,28910,2022.0,2.0
5224,39975,116314,2019.0,5.0
5225,32999,152657,2014.0,10.0
5226,54990,31727,2020.0,4.0
5227,34990,67104,2017.0,7.0
5228,78488,- / -,2023.0,1.0
5229,74874,- / -,2023.0,1.0
5230,44580,49206,2015.0,9.0
5231,35888,6532,2017.0,7.0
5232,19888,325685,2018.0,6.0
5233,34990,89550,2018.0,6.0
5234,32990,178320,2016.0,8.0
5235,24990,291081,2015.0,9.0
5236,33940,110535,2019.0,5.0
5237,27913,248327,2015.0,9.0
5238,34950,122884,2016.0,8.0
5239,59500,- / -,2023.0,1.0
5240,51988,108014,2019.0,5.0
5241,45994,86104,2016.0,8.0
5242,49999,26743,2022.0,2.0
5243,69578,13810,2022.0,2.0
5244,14990,278356,2011.0,13.0
5245,36990,98150,2018.0,6.0
5246,14990,290908,2013.0,11.0
5247,26990,102674,2018.0,6.0
5248,52389,5,2023.0,1.0
5249,38990,91171,2018.0,6.0
5250,35871,97984,2013.0,11.0
5251,35888,104176,2016.0,8.0
5252,34990,102941,2019.0,5.0
5253,60890,25,2023.0,1.0
5254,221527,- / -,2023.0,1.0
5255,14913,223907,2013.0,11.0
5256,21990,310215,2016.0,8.0
5257,36880,160275,2018.0,6.0
5258,47990,74795,2018.0,6.0
5259,56998,36741,2021.0,3.0
5260,120641,- / -,2023.0,1.0
5261,35900,16000,2021.0,3.0
5262,74950,10,2023.0,1.0
5263,70610,44740,2022.0,2.0
5264,24990,223795,2013.0,11.0
5265,42995,128978,2018.0,6.0
5266,62811,12,2022.0,2.0
5267,39880,72650,2018.0,6.0
5268,74990,4100,2022.0,2.0
5269,33980,177839,2018.0,6.0
5270,,147648,2016.0,8.0
5271,62990,46800,2021.0,3.0
5272,58483,-,2023.0,1.0
5273,48858,91995,2018.0,6.0
5274,59990,16799,2021.0,3.0
5275,293131,- / -,2023.0,1.0
5276,77061,- / -,2023.0,1.0
5277,28999,192988,2017.0,7.0
5278,197239,- / -,2023.0,1.0
5279,39380,104532,2018.0,6.0
5280,44995,82383,2017.0,7.0
5281,31980,132261,2016.0,8.0
5282,103983,- / -,2023.0,1.0
5283,41980,130259,2016.0,8.0
5284,21995,178562,2016.0,8.0
5285,59990,27079,2022.0,2.0
5286,51900,23503,2020.0,4.0
5287,19800,199879,2017.0,7.0
5288,67990,282,2022.0,2.0
5289,38888,3212,2021.0,3.0
5290,39380,108515,2017.0,7.0
5291,38888,117134,2017.0,7.0
5292,138457,- / -,2023.0,1.0
5293,40990,46300,2017.0,7.0
5294,41990,120425,2018.0,6.0
5295,87389,- / -,2023.0,1.0
5296,131088,- / -,2023.0,1.0
5297,26998,165473,2017.0,7.0
5298,40999,142653,2016.0,8.0
5299,37450,95700,2016.0,8.0
5300,29950,127805,2013.0,11.0
5301,140605,- / -,2023.0,1.0
5302,38990,121130,2016.0,8.0
5303,82238,- / -,2023.0,1.0
5304,58990,29852,2021.0,3.0
5305,16990,183000,2010.0,14.0
5306,42499,85733,2018.0,6.0
5307,42950,138702,2019.0,5.0
5308,18990,257027,2012.0,12.0
5309,32990,144662,2015.0,9.0
5310,49990,32596,2018.0,6.0
5311,44888,85388,2017.0,7.0
5312,34990,229834,2018.0,6.0
5313,19990,225000,2016.0,8.0
5314,23950,144680,2017.0,7.0
5315,29999,99970,2019.0,5.0
5316,195100,- / -,2023.0,1.0
5317,45888,108153,2018.0,6.0
5318,51984,46480,2017.0,7.0
5319,30990,85211,2016.0,8.0
5320,11990,194673,2010.0,14.0
5321,29991,55193,2016.0,8.0
5322,108461,- / -,2023.0,1.0
5323,55999,4941,2023.0,1.0
5324,25950,240001,2016.0,8.0
5325,27888,51431,2017.0,7.0
5326,39990,144528,2016.0,8.0
5327,44990,51274,2018.0,6.0
5328,38990,101151,2016.0,8.0
5329,32990,74850,2016.0,8.0
5330,66325,- / -,2023.0,1.0
5331,66640,25,2023.0,1.0
5332,32990,142799,2014.0,10.0
5333,71561,- / -,2023.0,1.0
5334,40990,165110,2016.0,8.0
5335,9513,424969,2011.0,13.0
5336,37999,91986,2014.0,10.0
5337,53990,34098,2022.0,2.0
5338,64990,11683,2021.0,3.0
5339,32990,127676,2018.0,6.0
5340,33988,137633,2017.0,7.0
5341,37990,161412,2016.0,8.0
5342,41990,99734,2016.0,8.0
5343,35950,120365,2015.0,9.0
5344,40888,160136,2018.0,6.0
5345,21970,308948,2014.0,10.0
5346,30888,93008,2016.0,8.0
5347,37980,155824,2016.0,8.0
5348,184564,- / -,2023.0,1.0
5349,25950,163370,2017.0,7.0
5350,39990,29701,2021.0,3.0
5351,61990,48000,2020.0,4.0
5352,22499,225223,2011.0,13.0
5353,36990,160782,2017.0,7.0
5354,240754,- / -,2023.0,1.0
5355,29800,115004,2015.0,9.0
5356,58023,- / -,2023.0,1.0
5357,58990,53339,2020.0,4.0
5358,54995,78446,2017.0,7.0
5359,36988,103121,2014.0,10.0
5360,25950,114405,2017.0,7.0
5361,39700,- / -,2023.0,1.0
5362,53000,- / -,2023.0,1.0
5363,35970,94559,2019.0,5.0
5364,44990,107108,2019.0,5.0
5365,34990,138168,2017.0,7.0
5366,23999,186951,2017.0,7.0
5367,37990,85491,2018.0,6.0
5368,66388,23424,2021.0,3.0
5369,23910,267250,2014.0,10.0
5370,23888,173007,2016.0,8.0
5371,34990,193175,2018.0,6.0
5372,60846,- / -,2023.0,1.0
5373,69988,11550,2022.0,2.0
5374,62779,- / -,2023.0,1.0
5375,16500,233000,2015.0,9.0
5376,114461,- / -,2023.0,1.0
5377,210992,- / -,2023.0,1.0
5378,51888,77791,2021.0,3.0
5379,52988,83162,2019.0,5.0
5380,17990,245210,2009.0,15.0
5381,33990,84050,2017.0,7.0
5382,49950,34104,2020.0,4.0
5383,39980,44025,2018.0,6.0
5384,63948,- / -,2023.0,1.0
5385,48990,76027,2019.0,5.0
5386,17800,308057,2018.0,6.0
5387,75890,25,2023.0,1.0
5388,23990,167342,2018.0,6.0
5389,58000,- / -,2023.0,1.0
5390,39990,207661,2018.0,6.0
5391,57599,25,2023.0,1.0
5392,49975,87014,2018.0,6.0
5393,47990,139506,2018.0,6.0
5394,59990,42603,2020.0,4.0
5395,34990,183098,2015.0,9.0
5396,57990,61749,2021.0,3.0
5397,57885,38444,2020.0,4.0
5398,36888,132000,2017.0,7.0
5399,44990,47687,2021.0,3.0
5400,33995,138326,2016.0,8.0
5401,52990,88301,2018.0,6.0
5402,46990,71050,2017.0,7.0
5403,67188,18067,2021.0,3.0
5404,29990,239409,2017.0,7.0
5405,35990,82000,2019.0,5.0
5406,33880,79379,2015.0,9.0
5407,20000,331451,2014.0,10.0
5408,44990,75232,2018.0,6.0
5409,39990,98096,2015.0,9.0
5410,33990,140213,2018.0,6.0
5411,31990,241220,2015.0,9.0
5412,71720,- / -,2023.0,1.0
5413,34880,171543,2019.0,5.0
5414,40990,112237,2017.0,7.0
5415,71401,- / -,2023.0,1.0
5416,33990,114199,2018.0,6.0
5417,26990,250200,2015.0,9.0
5418,67990,25145,2021.0,3.0
5419,29990,112789,2016.0,8.0
5420,53990,22248,2022.0,2.0
5421,47990,35808,2019.0,5.0
5422,45990,68997,2017.0,7.0
5423,36960,72016,2019.0,5.0
5424,120188,- / -,2023.0,1.0
5425,31888,58920,2016.0,8.0
5426,26975,284189,2015.0,9.0
5427,53800,- / -,2023.0,1.0
5428,118387,- / -,2023.0,1.0
5429,36999,98439,2020.0,4.0
5430,36980,159107,2016.0,8.0
5431,29990,347729,2010.0,14.0
5432,71559,- / -,2023.0,1.0
5433,86760,-,2022.0,2.0
5434,86697,- / -,2023.0,1.0
5435,329248,- / -,2023.0,1.0
5436,64303,- / -,2023.0,1.0
5437,315744,- / -,2023.0,1.0
5438,155071,- / -,2023.0,1.0
5439,90883,- / -,2023.0,1.0
5440,59738,- / -,2023.0,1.0
5441,46980,100068,2019.0,5.0
5442,148566,- / -,2023.0,1.0
5443,320467,- / -,2023.0,1.0
5444,78252,- / -,2023.0,1.0
5445,90504,- / -,2023.0,1.0
5446,197482,- / -,2023.0,1.0
5447,90640,- / -,2023.0,1.0
5448,159471,- / -,2023.0,1.0
5449,26950,347128,2019.0,5.0
5450,316787,- / -,2023.0,1.0
5451,86714,- / -,2023.0,1.0
5452,332626,- / -,2023.0,1.0
5453,65614,- / -,2023.0,1.0
5454,79514,- / -,2023.0,1.0
5455,140730,- / -,2023.0,1.0
5456,309853,- / -,2023.0,1.0
5457,76539,- / -,2023.0,1.0
5458,152028,- / -,2023.0,1.0
5459,82609,- / -,2023.0,1.0
5460,70202,- / -,2023.0,1.0
5461,273518,- / -,2023.0,1.0
5462,75789,- / -,2023.0,1.0
5463,323132,- / -,2023.0,1.0
5464,274436,- / -,2023.0,1.0
5465,83909,- / -,2023.0,1.0
5466,272260,- / -,2023.0,1.0
5467,329475,- / -,2023.0,1.0
5468,149888,38146,2021.0,3.0
5469,115900,37831,2021.0,3.0
5470,179990,10,2023.0,1.0
5471,51995,42827,2019.0,5.0
5472,105990,53620,2014.0,10.0
5473,29800,38821,2014.0,10.0
5474,42980,73016,2017.0,7.0
5475,44990,64900,2017.0,7.0
5476,58990,69939,2018.0,6.0
5477,15990,62650,2009.0,15.0
5478,47500,44205,2017.0,7.0
5479,38995,131983,2017.0,7.0
5480,49900,69500,2016.0,8.0
5481,72100,- / -,2023.0,1.0
5482,POA,12,2020.0,4.0
5483,49888,39602,2018.0,6.0
5484,39880,82458,2017.0,7.0
5485,24999,248000,1998.0,26.0
5486,19990,160100,2012.0,12.0
5487,89990,22063,2014.0,10.0
5488,188450,- / -,2023.0,1.0
5489,75900,- / -,2023.0,1.0
5490,34888,94507,2018.0,6.0
5491,99990,33733,2015.0,9.0
5492,48990,101462,2011.0,13.0
5493,28888,125043,2017.0,7.0
5494,14999,393000,1998.0,26.0
5495,148800,- / -,2023.0,1.0
5496,35990,109981,2015.0,9.0
5497,109950,26616,2017.0,7.0
5498,53000,51062,2019.0,5.0
5499,10888,141965,2004.0,20.0
5500,23950,133360,2011.0,13.0
5501,69990,136947,1986.0,38.0
5502,33988,82168,2016.0,8.0
5503,53990,120404,2016.0,8.0
5504,32990,114787,2016.0,8.0
5505,105300,- / -,2023.0,1.0
5506,89990,12162,2018.0,6.0
5507,66800,15345,2020.0,4.0
5508,47888,43311,2017.0,7.0
5509,36100,81990,2018.0,6.0
5510,79825,- / -,2023.0,1.0
5511,62950,73840,2017.0,7.0
5512,31950,113588,2014.0,10.0
5513,42000,95000,2018.0,6.0
5514,36990,31006,2016.0,8.0
5515,51888,31120,2019.0,5.0
5516,14990,136664,2008.0,16.0
5517,69990,22057,2019.0,5.0
5518,18888,167680,2009.0,15.0
5519,79990,1562,2023.0,1.0
5520,87490,3732,2023.0,1.0
5521,74977,11980,2022.0,2.0
5522,54998,90714,2020.0,4.0
5523,29999,111620,2014.0,10.0
5524,24990,101855,2014.0,10.0
5525,64990,64129,2020.0,4.0
5526,19900,144089,2015.0,9.0
5527,35990,77325,2015.0,9.0
5528,16990,164270,2007.0,17.0
5529,19913,74358,2009.0,15.0
5530,32995,171650,2014.0,10.0
5531,21985,122460,2013.0,11.0
5532,50499,1500,2022.0,2.0
5533,32990,80768,2015.0,9.0
5534,76888,16648,2022.0,2.0
5535,13990,180604,2003.0,21.0
5536,72260,76674,2016.0,8.0
5537,16990,61992,2016.0,8.0
5538,89890,55,2022.0,2.0
5539,77333,28537,2019.0,5.0
5540,23990,244956,2017.0,7.0
5541,18990,69946,2014.0,10.0
5542,39999,106830,2015.0,9.0
5543,5999,255342,2008.0,16.0
5544,42990,104568,2013.0,11.0
5545,54898,118687,2014.0,10.0
5546,68888,53675,2020.0,4.0
5547,13990,175284,2014.0,10.0
5548,49990,59258,2019.0,5.0
5549,85950,38,2023.0,1.0
5550,79990,12,2022.0,2.0
5551,68999,139979,2018.0,6.0
5552,14971,209380,2012.0,12.0
5553,31999,71000,2011.0,13.0
5554,14990,227525,2013.0,11.0
5555,78990,27091,2021.0,3.0
5556,18900,140521,2012.0,12.0
5557,64990,49673,2020.0,4.0
5558,71800,19357,2022.0,2.0
5559,76990,35,2022.0,2.0
5560,25500,60800,2018.0,6.0
5561,77990,2039,2022.0,2.0
5562,29990,114424,2014.0,10.0
5563,8999,211770,2006.0,18.0
5564,25999,93983,2011.0,13.0
5565,56470,25,2022.0,2.0
5566,159990,29464,2020.0,4.0
5567,15997,235437,2012.0,12.0
5568,17990,144141,2013.0,11.0
5569,51600,5,2023.0,1.0
5570,75490,55,2022.0,2.0
5571,24990,69001,2013.0,11.0
5572,43621,28,2023.0,1.0
5573,41950,76472,2018.0,6.0
5574,32888,20827,2021.0,3.0
5575,20930,225041,2013.0,11.0
5576,58990,29345,2021.0,3.0
5577,12900,129898,2014.0,10.0
5578,44990,19,2023.0,1.0
5579,23750,195024,2013.0,11.0
5580,84990,16,2023.0,1.0
5581,84990,17,2022.0,2.0
5582,73990,12,2022.0,2.0
5583,34888,124653,2017.0,7.0
5584,44990,54000,2020.0,4.0
5585,24800,119401,2015.0,9.0
5586,82750,- / -,2023.0,1.0
5587,14990,274689,2013.0,11.0
5588,27990,120853,2015.0,9.0
5589,52990,53419,2018.0,6.0
5590,33990,79287,2016.0,8.0
5591,43998,49602,2019.0,5.0
5592,14990,79800,2015.0,9.0
5593,21999,114125,2014.0,10.0
5594,32999,98089,2015.0,9.0
5595,13990,171994,2008.0,16.0
5596,44459,22,2022.0,2.0
5597,50990,51540,2017.0,7.0
5598,35990,127382,2015.0,9.0
5599,33980,75791,2010.0,14.0
5600,128388,2700,2022.0,2.0
5601,9990,264060,2009.0,15.0
5602,51990,110743,2016.0,8.0
5603,42490,22,2023.0,1.0
5604,49888,49045,2019.0,5.0
5605,51990,52796,2019.0,5.0
5606,21990,122026,2014.0,10.0
5607,29999,140493,2011.0,13.0
5608,78825,24,2023.0,1.0
5609,21990,222627,2008.0,16.0
5610,16990,149108,2011.0,13.0
5611,12800,197610,2012.0,12.0
5612,90880,-,2022.0,2.0
5613,74990,55,2022.0,2.0
5614,79990,1200,2022.0,2.0
5615,59971,97266,2020.0,4.0
5616,11900,118000,2012.0,12.0
5617,31990,89273,2016.0,8.0
5618,49990,105964,2015.0,9.0
5619,13490,101840,2012.0,12.0
5620,92888,20,2023.0,1.0
5621,44990,40868,2014.0,10.0
5622,15750,232243,2013.0,11.0
5623,19990,187400,2013.0,11.0
5624,27999,65726,2018.0,6.0
5625,7995,248751,2008.0,16.0
5626,79990,16,2023.0,1.0
5627,99800,98901,2018.0,6.0
5628,19999,203000,2013.0,11.0
5629,46999,25574,2021.0,3.0
5630,26248,143000,2014.0,10.0
5631,89990,20,2023.0,1.0
5632,123888,25,2022.0,2.0
5633,41950,61418,2018.0,6.0
5634,25999,98864,2015.0,9.0
5635,72840,14,2022.0,2.0
5636,89990,-,2022.0,2.0
5637,39464,37000,2015.0,9.0
5638,75500,12,2022.0,2.0
5639,50990,114870,2017.0,7.0
5640,29999,155871,2015.0,9.0
5641,23990,143960,2015.0,9.0
5642,30990,109133,2013.0,11.0
5643,51995,113212,2018.0,6.0
5644,37800,52378,2015.0,9.0
5645,82985,24,2022.0,2.0
5646,37990,32285,2021.0,3.0
5647,44990,125343,2016.0,8.0
5648,92990,22,2022.0,2.0
5649,22350,82445,2015.0,9.0
5650,24990,205015,2013.0,11.0
5651,45889,126351,2015.0,9.0
5652,47990,93985,2017.0,7.0
5653,21999,181271,2012.0,12.0
5654,21990,215000,2011.0,13.0
5655,89990,56452,2019.0,5.0
5656,27990,141646,2009.0,15.0
5657,87888,20,2022.0,2.0
5658,34990,73509,2016.0,8.0
5659,89990,55,2022.0,2.0
5660,74990,41585,2020.0,4.0
5661,79890,18,2022.0,2.0
5662,80990,16,2023.0,1.0
5663,70990,3900,2022.0,2.0
5664,9499,274642,2005.0,19.0
5665,17990,66014,2019.0,5.0
5666,22990,175000,2012.0,12.0
5667,14900,165000,2015.0,9.0
5668,40990,100254,2017.0,7.0
5669,75990,5693,2021.0,3.0
5670,87581,24,2022.0,2.0
5671,17999,209278,2007.0,17.0
5672,13999,192588,2014.0,10.0
5673,15980,190962,2012.0,12.0
5674,14888,154258,2015.0,9.0
5675,84999,40,2023.0,1.0
5676,57990,52500,2020.0,4.0
5677,20500,117582,2016.0,8.0
5678,51990,27510,2018.0,6.0
5679,22990,89456,2010.0,14.0
5680,82995,23,2022.0,2.0
5681,29888,130100,2015.0,9.0
5682,47888,-,2023.0,1.0
5683,14990,109512,2012.0,12.0
5684,47830,56113,2019.0,5.0
5685,18990,189726,2007.0,17.0
5686,45990,7632,2022.0,2.0
5687,25999,132500,2011.0,13.0
5688,92990,16,2023.0,1.0
5689,32980,141500,2014.0,10.0
5690,15999,225535,2012.0,12.0
5691,15999,223000,2011.0,13.0
5692,49888,40042,2019.0,5.0
5693,39990,12880,2022.0,2.0
5694,76888,1038,2022.0,2.0
5695,42990,22,2023.0,1.0
5696,57469,29,2023.0,1.0
5697,69990,10831,2021.0,3.0
5698,18888,180000,2013.0,11.0
5699,88189,35985,2020.0,4.0
5700,22880,104581,2013.0,11.0
5701,14950,241642,2015.0,9.0
5702,49990,12391,2022.0,2.0
5703,31990,99121,2015.0,9.0
5704,24995,216296,2007.0,17.0
5705,55574,40,2023.0,1.0
5706,15988,94072,2013.0,11.0
5707,13900,152000,2013.0,11.0
5708,94990,49380,2020.0,4.0
5709,49990,26727,2019.0,5.0
5710,16999,236106,2007.0,17.0
5711,39980,87335,2016.0,8.0
5712,19888,112819,2013.0,11.0
5713,90990,55,2023.0,1.0
5714,12777,102140,2013.0,11.0
5715,81888,156,2022.0,2.0
5716,25990,50000,2014.0,10.0
5717,15988,90104,2011.0,13.0
5718,36990,129905,2016.0,8.0
5719,14999,207000,2011.0,13.0
5720,17990,152496,2014.0,10.0
5721,14999,201304,2013.0,11.0
5722,22990,127651,2016.0,8.0
5723,16999,244213,2012.0,12.0
5724,18990,217308,2014.0,10.0
5725,13800,234564,2012.0,12.0
5726,92990,28,2023.0,1.0
5727,84888,19,2022.0,2.0
5728,32880,148355,2015.0,9.0
5729,24990,137413,2013.0,11.0
5730,47880,69885,2018.0,6.0
5731,15999,288924,2014.0,10.0
5732,11899,163790,2014.0,10.0
5733,97990,-,2023.0,1.0
5734,26999,185195,2014.0,10.0
5735,34995,57029,2017.0,7.0
5736,57888,30,2023.0,1.0
5737,24950,156651,2015.0,9.0
5738,24990,123556,2009.0,15.0
5739,67990,41754,2020.0,4.0
5740,6999,311334,2010.0,14.0
5741,45490,3781,2022.0,2.0
5742,23913,92805,2015.0,9.0
5743,12990,172095,2006.0,18.0
5744,43990,38149,2020.0,4.0
5745,32890,169949,2017.0,7.0
5746,36950,152274,2015.0,9.0
5747,24990,137763,2014.0,10.0
5748,14913,198333,2012.0,12.0
5749,28990,17601,2018.0,6.0
5750,53990,73215,2019.0,5.0
5751,18990,108076,2014.0,10.0
5752,15990,190236,2016.0,8.0
5753,19990,193143,2015.0,9.0
5754,22999,168450,2015.0,9.0
5755,87987,21,2022.0,2.0
5756,15990,247271,2013.0,11.0
5757,11999,290932,2014.0,10.0
5758,13990,105079,2014.0,10.0
5759,49977,58774,2018.0,6.0
5760,57990,79898,2018.0,6.0
5761,9499,129807,2008.0,16.0
5762,39999,14100,2022.0,2.0
5763,10990,199000,2007.0,17.0
5764,9985,207527,2008.0,16.0
5765,8000,203250,2009.0,15.0
5766,61900,69696,2020.0,4.0
5767,21999,84230,2018.0,6.0
5768,91888,10,2023.0,1.0
5769,19990,84314,2016.0,8.0
5770,21990,145643,2015.0,9.0
5771,23990,172266,2017.0,7.0
5772,13990,215000,2012.0,12.0
5773,64830,39604,2020.0,4.0
5774,63990,35000,2021.0,3.0
5775,19990,130812,2015.0,9.0
5776,26999,123001,2013.0,11.0
5777,24950,69218,2017.0,7.0
5778,13990,140964,2015.0,9.0
5779,22999,134981,2015.0,9.0
5780,27870,172063,2015.0,9.0
5781,25999,103864,2014.0,10.0
5782,88888,17,2023.0,1.0
5783,23990,120193,2014.0,10.0
5784,24999,202298,2017.0,7.0
5785,19980,197156,2014.0,10.0
5786,62990,89867,2020.0,4.0
5787,40888,97102,2015.0,9.0
5788,34800,39967,2016.0,8.0
5789,14999,301000,2013.0,11.0
5790,42450,9826,2022.0,2.0
5791,33998,92285,2015.0,9.0
5792,88888,25,2022.0,2.0
5793,102990,32563,2020.0,4.0
5794,75850,10128,2022.0,2.0
5795,96990,20,2022.0,2.0
5796,29990,124359,2016.0,8.0
5797,44990,96727,2015.0,9.0
5798,13999,224839,2012.0,12.0
5799,30200,63500,2017.0,7.0
5800,10999,215608,2014.0,10.0
5801,52875,50,2022.0,2.0
5802,19690,50625,2015.0,9.0
5803,51499,40,2023.0,1.0
5804,47975,76000,2017.0,7.0
5805,18999,188692,2014.0,10.0
5806,34995,99822,2014.0,10.0
5807,24999,137023,2014.0,10.0
5808,53888,92150,2019.0,5.0
5809,26999,158447,2011.0,13.0
5810,79990,2215,2022.0,2.0
5811,92990,42274,2019.0,5.0
5812,28990,104369,2016.0,8.0
5813,45990,12818,2022.0,2.0
5814,25965,150276,2015.0,9.0
5815,31995,160768,2018.0,6.0
5816,13990,115071,2013.0,11.0
5817,15885,55411,2011.0,13.0
5818,18990,225450,2012.0,12.0
5819,110685,15,2023.0,1.0
5820,17999,85958,2015.0,9.0
5821,81995,28,2022.0,2.0
5822,28999,29282,2019.0,5.0
5823,19990,156535,2009.0,15.0
5824,99990,8504,2022.0,2.0
5825,18987,107000,2015.0,9.0
5826,32744,136541,2017.0,7.0
5827,44990,22,2023.0,1.0
5828,28980,128963,2014.0,10.0
5829,86867,21,2023.0,1.0
5830,73711,42469,2020.0,4.0
5831,17999,146861,2013.0,11.0
5832,24888,117099,2013.0,11.0
5833,44500,105717,2019.0,5.0
5834,41888,92100,2017.0,7.0
5835,71466,19173,2020.0,4.0
5836,19995,153791,2012.0,12.0
5837,40990,44520,2018.0,6.0
5838,53980,66458,2019.0,5.0
5839,20990,57502,2020.0,4.0
5840,29990,13424,2021.0,3.0
5841,35300,51815,2019.0,5.0
5842,8990,139350,2007.0,17.0
5843,28390,- / -,2023.0,1.0
5844,28990,69586,2021.0,3.0
5845,20990,94876,2017.0,7.0
5846,38999,35263,2021.0,3.0
5847,21490,63268,2018.0,6.0
5848,33990,56891,2019.0,5.0
5849,35988,48624,2019.0,5.0
5850,36480,85644,2018.0,6.0
5851,25490,51232,2020.0,4.0
5852,29990,12421,2022.0,2.0
5853,10995,152513,2013.0,11.0
5854,41990,49743,2020.0,4.0
5855,62990,12478,2021.0,3.0
5856,26990,85291,2019.0,5.0
5857,23999,48128,2020.0,4.0
5858,33990,78914,2018.0,6.0
5859,49999,62246,2019.0,5.0
5860,72360,- / -,2023.0,1.0
5861,26490,24575,2021.0,3.0
5862,29990,79130,2019.0,5.0
5863,38990,55777,2019.0,5.0
5864,17999,25986,2018.0,6.0
5865,48779,61212,2020.0,4.0
5866,27950,57494,2019.0,5.0
5867,29868,41520,2020.0,4.0
5868,27990,87559,2018.0,6.0
5869,30497,29034,2016.0,8.0
5870,15990,119295,2013.0,11.0
5871,15790,121425,2015.0,9.0
5872,21888,56189,2020.0,4.0
5873,29990,110996,2017.0,7.0
5874,22490,53883,2020.0,4.0
5875,14660,108364,2016.0,8.0
5876,25490,56768,2020.0,4.0
5877,18990,31337,2020.0,4.0
5878,24410,48862,2021.0,3.0
5879,37990,144461,2018.0,6.0
5880,22999,60692,2019.0,5.0
5881,22888,97978,2016.0,8.0
5882,38990,67092,2019.0,5.0
5883,53800,45,2022.0,2.0
5884,19999,95747,2017.0,7.0
5885,28868,53459,2020.0,4.0
5886,21990,30527,2018.0,6.0
5887,38888,57553,2018.0,6.0
5888,25490,56310,2020.0,4.0
5889,15998,135094,2016.0,8.0
5890,25490,52898,2020.0,4.0
5891,39999,114501,2018.0,6.0
5892,14999,132450,2010.0,14.0
5893,23977,61515,2020.0,4.0
5894,21990,89705,2018.0,6.0
5895,35990,50151,2020.0,4.0
5896,25490,52844,2020.0,4.0
5897,9913,137171,2010.0,14.0
5898,2999,255250,2008.0,16.0
5899,44900,- / -,2023.0,1.0
5900,25990,56546,2020.0,4.0
5901,33990,58377,2019.0,5.0
