VehicleID,Brand,Year,Model,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
58,Audi,2022,A3,2022 Audi A3 35 Tfsi Mhev,USED,Automatic,1.5,Front,Premium,4.9,4142,White / Black,"Zetland, NSW",4.0,Sedan,4,5,47880
67,Audi,2022,A3,2022 Audi A3 35 Tfsi Mhev,USED,Automatic,1.5,Front,Premium,4.9,6845,White / Black,"Zetland, NSW",4.0,Sedan,4,5,46880
68,Audi,2017,SQ5,2017 Audi SQ5 3.0 Tfsi Quattro,USED,Automatic,3.0,AWD,Premium,8.7,74929,Grey / Black,"Hobart, TAS",6.0,SUV,4,5,59990
70,Audi,2019,Q3,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,1.4,Front,Premium,7.2,51058,White / Black,"Burwood, VIC",4.0,SUV,4,5,44888
72,Audi,2022,RS,2022 Audi RS 6 Avant 4.0 Tfsi Quattro Mhev,DEMO,Automatic,4.0,AWD,Hybrid,11.7,2147,Grey / Black/Express Red Stitching,"Southport, QLD",8.0,Wagon,4,5,299990
75,Audi,2022,Q3,2022 Audi Q3 35 Tfsi,USED,Automatic,1.4,Front,Premium,7.2,24000,White / Black,"Zetland, NSW",4.0,SUV,4,5,55880
76,Audi,2023,Q5,2023 Audi Q5 40 TDI Quattro S Line Mhev,DEMO,Automatic,2.0,AWD,Hybrid,5.4,2002,White / Black,"Artarmon, NSW",4.0,SUV,4,5,88888
78,Audi,2014,A3,2014 Audi A3 1.4 Tfsi Attraction COD,USED,Automatic,1.4,Front,Premium,4.7,96958,Silver / Black,"Brighton, VIC",4.0,Sedan,4,5,22990
79,Audi,2015,Q5,2015 Audi Q5 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,7.9,46604,Grey / Black,"Artarmon, NSW",4.0,SUV,4,5,37990
82,Audi,2017,Q5,2017 Audi Q5 2.0 TDI Quattro Design,USED,Automatic,2.0,AWD,Diesel,5.5,116871,White / Black,"Osborne Park, WA",4.0,SUV,4,5,33580
83,Audi,2015,A5,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,2.0,AWD,Premium,6.7,115334,Grey / Black,"Blacktown, NSW",4.0,Coupe,2,4,26880
84,Audi,2017,Q5,2017 Audi Q5 2.0 TDI Quattro Sport,USED,Automatic,2.0,AWD,Diesel,5.5,92876,White / Black,"Maitland, NSW",4.0,SUV,4,5,39888
86,Audi,2012,Q7,2012 Audi Q7 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,7.4,147000,Grey / Black,"Strathpine, QLD",6.0,SUV,4,7,21990
89,Audi,2016,SQ7,2016 Audi SQ7 4.0 TDI V8 Quattro,USED,Automatic,4.0,AWD,Diesel,7.2,59995,Grey / Black,"Springwood, QLD",8.0,SUV,4,5,84990
91,Audi,2017,A5,2017 Audi A5 2.0 Tfsi S Tronic Sport,USED,Automatic,2.0,Front,Premium,5.5,52943,Black / Black,"South Melbourne, VIC",4.0,Coupe,2,4,42990
92,Audi,2014,Q7,2014 Audi Q7 3.0 TDI Quattro,USED,Automatic,3.0,AWD,Diesel,7.4,106808,White / Black,"Vermont, VIC",6.0,SUV,4,7,39990
96,Audi,2023,Q5,2023 Audi Q5 45 Tfsi Quattro Mhev,DEMO,Automatic,2.0,AWD,Hybrid,8.0,2650,White / Black,"Mornington, VIC",4.0,SUV,4,5,89990
101,Audi,2018,Q5,2018 Audi Q5 2.0 Tfsi Quattro Sport,USED,Automatic,2.0,AWD,Premium,7.3,30911,Silver / Black,"Southport, QLD",4.0,SUV,4,5,59990
102,Audi,2022,Q5,2022 Audi Q5 45 Tfsi Quattro S Line Mhev,DEMO,Automatic,2.0,AWD,Hybrid,8.0,200,White / Black,"Artarmon, NSW",4.0,SUV,4,5,94788
105,Audi,2023,Q5,2023 Audi Q5 45 Tfsi Quattro Mhev,DEMO,Automatic,2.0,AWD,Hybrid,8.0,2088,Silver / Black,"Artarmon, NSW",4.0,SUV,4,5,89588
106,Audi,2022,Q3,2022 Audi Q3 35 Tfsi,DEMO,Automatic,1.4,Front,Premium,7.2,6100,Silver / Black,"Artarmon, NSW",4.0,SUV,4,5,57588
109,Audi,2022,E-Tron,2022 Audi E-Tron 55 Quattro,DEMO,Automatic,,AWD,Electric,0.0,20,Black / Black,"Hobart, TAS",,SUV,4,5,159990
110,Audi,2022,SQ7,2022 Audi SQ7 Tfsi Quattro,USED,Automatic,4.0,AWD,Premium,12.1,10280,Black / Black,"Carlton, NSW",8.0,SUV,4,7,168888
114,Audi,2022,RS,2022 Audi RS Q3 2.5 Tfsi Quattro,DEMO,Automatic,2.5,AWD,Premium,8.9,2347,Green / Black/Express Red Stitching,"Southport, QLD",5.0,SUV,4,5,129990
115,Audi,2017,TT,2017 Audi TT RS Quattro,USED,Automatic,2.5,AWD,Premium,8.6,42750,Grey / Black,"Nunawading, VIC",5.0,Convertible,2,4,95990
118,Audi,2019,A3,2019 Audi A3 40 Tfsi QTR (2.0 QTR Tfsi),USED,Automatic,2.0,AWD,Premium,6.1,47312,Black / Black Leather,"Warwick Farm, NSW",4.0,Sedan,4,5,45880
120,Audi,2012,A4,2012 Audi A4 2.0 Tfsi,USED,Automatic,2.0,Front,Premium,7.1,108285,Silver / Leather,"Elderslie, NSW",4.0,Sedan,4,5,14999
121,Audi,2022,Q5,2022 Audi Q5 40 TDI Quattro S Line Mhev,DEMO,Automatic,2.0,AWD,Hybrid,5.4,6400,Blue / Black,"Artarmon, NSW",4.0,SUV,4,5,88788
